iter	RMSE
0	181.3085059
1	176.0461799
2	170.8797444
3	166.6259185
4	161.9329808
5	157.3893964
6	153.0517923
7	149.1685425
8	145.1211523
9	141.5924119
10	138.2258338
11	134.7785102
12	131.5583638
13	128.3800857
14	125.3542326
15	122.6248047
16	119.8745885
17	117.0675293
18	114.611636
19	112.1853338
20	110.0644425
21	108.0254869
22	105.7852136
23	103.6230246
24	101.5111982
25	99.55637398
26	97.71800767
27	96.01571375
28	94.42572223
29	92.80030138
30	91.18042535
31	89.81287106
32	88.51450106
33	87.20990244
34	85.88214977
35	84.71371214
36	83.48510221
37	82.46678109
38	81.41362159
39	80.46391519
40	79.56561726
41	78.60993678
42	77.83808621
43	77.12059474
44	76.34376454
45	75.56931744
46	74.88242726
47	74.14914028
48	73.49810641
49	72.89098223
50	72.32892627
51	71.80142751
52	71.35007953
53	70.8245818
54	70.37959381
55	69.92071752
56	69.48069217
57	68.91876893
58	68.49840755
59	68.11060	66.05540398
61	65.63929286
62	65.25444385
63	64.86023461
64	64.50640243
65	64.16074059
66	63.81607277
67	63.51262192
68	63.16031522
69	62.81222403
70	62.55222854
71	62.28839069
72	62.13317655
73	61.86200693
74	61.56567079
75	61.22242353
76	60.96123577
77	60.72651404
78	60.50898833
79	60.32687871
80	60.06543646
81	59.81860627
82	59.59787642
83	59.39369586
84	59.17728607
85	58.95398732
86	58.81240292
87	58.64276757
88	58.47711563
89	58.33210676
90	58.19824017
91	58.022275
92	57.83904857
93	57.66087014
94	57.49402994
95	57.37104038
96	57.22386151
97	57.05928654
98	56.91947489
99	56.80077229
100	56.70465914
101	56.59812264
102	56.42894215
103	56.26900582
104	56.13271253
105	56.00535576
106	55.8682346
107	55.7667967
108	55.57549793
109	55.48385895
110	55.41281051
111	55.33988719
112	55.25538764
113	55.10108999
114	54.9992552
115	54.86908273
116	54.80440907
117	54.65448207
118	54.58455982
119	54.46163407
120	54.34232905
121	54.22318056
122	54.12719124
123	54.04422584
124	53.94045485
125	53.7858869
126	53.64733144
127	53.5674424
128	53.44241158
129	53.33125824
130	53.25241102
131	53.16065364
132	53.08590329
133	52.99843408
134	52.89661938
135	52.82946964
136	52.7665988
137	52.71002008
138	52.52980321
139	52.38865498
140	52.34895084
141	52.28503903
142	52.19903057
143	52.06212956
144	51.95204377
145	51.87211885
146	51.79417339
147	51.74873194
148	51.70210595
149	51.61625147
150	51.5306797
151	51.41566519
152	51.33584995
153	51.26072194
154	51.13376682
155	51.05107168
